trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	set	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
1	1	1	vlok	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
1	1	1	vlok	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
1	1	1	vlok	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
2	1	2	refrein	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
2	1	2	refrein	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
2	1	2	refrein	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
3	1	3	koud	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
3	1	3	koud	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
3	1	3	koud	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
4	1	4	giftig	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
4	1	4	giftig	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
4	1	4	giftig	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
5	1	5	gezwel	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
5	1	5	gezwel	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
5	1	5	gezwel	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0010000001001001	0000000000000000	0	0	4	0
6	2	1	zet	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
6	2	1	zet	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
6	2	1	zet	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
7	2	2	normaal	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
7	2	2	normaal	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
7	2	2	normaal	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
8	2	3	prijzig	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
8	2	3	prijzig	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
8	2	3	prijzig	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
9	2	4	huwelijk	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
9	2	4	huwelijk	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
9	2	4	huwelijk	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
10	2	5	vrezen	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
10	2	5	vrezen	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
10	2	5	vrezen	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
11	3	1	lasso	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
11	3	1	lasso	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
11	3	1	lasso	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
12	3	2	toren	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
12	3	2	toren	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
12	3	2	toren	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
13	3	3	oerwoud	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
13	3	3	oerwoud	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
13	3	3	oerwoud	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
14	3	4	filter	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
14	3	4	filter	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
14	3	4	filter	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
15	3	5	afloop	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
15	3	5	afloop	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
15	3	5	afloop	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0100000110000100	0000000000000000	0	0	4	0
16	4	1	rustig	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
16	4	1	rustig	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
16	4	1	rustig	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
17	4	2	pek	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
17	4	2	pek	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
17	4	2	pek	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
18	4	3	roddel	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
18	4	3	roddel	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
18	4	3	roddel	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
19	4	4	bier	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
19	4	4	bier	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
19	4	4	bier	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
20	4	5	voeten	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
20	4	5	voeten	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
20	4	5	voeten	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
21	5	1	tolk	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
21	5	1	tolk	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
21	5	1	tolk	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
22	5	2	selectie	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
22	5	2	selectie	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
22	5	2	selectie	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
23	5	3	foto	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
23	5	3	foto	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
23	5	3	foto	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
24	5	4	stralen	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
24	5	4	stralen	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
24	5	4	stralen	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
25	5	5	ruim	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0001100000100100	0000000000000000	0	0	4	0
