trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
1	1	1	anti	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
1	1	1	anti	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
1	1	1	anti	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
2	1	2	boek	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
2	1	2	boek	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
2	1	2	boek	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
3	1	3	debuut	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
3	1	3	debuut	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
3	1	3	debuut	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
4	1	4	refrein	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
4	1	4	refrein	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
4	1	4	refrein	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
5	1	5	dok	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
5	1	5	dok	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
5	1	5	dok	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	1000000001010010	0000000000000000	0	0	4	0
6	2	1	veel	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
6	2	1	veel	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
6	2	1	veel	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
7	2	2	veger	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
7	2	2	veger	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
7	2	2	veger	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
8	2	3	boog	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
8	2	3	boog	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
8	2	3	boog	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
9	2	4	zon	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
9	2	4	zon	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
9	2	4	zon	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
10	2	5	gevaarlijk	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
10	2	5	gevaarlijk	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
10	2	5	gevaarlijk	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
11	3	1	vliegtuig	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
11	3	1	vliegtuig	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
11	3	1	vliegtuig	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
12	3	2	iedereen	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
12	3	2	iedereen	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
12	3	2	iedereen	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
13	3	3	oom	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
13	3	3	oom	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
13	3	3	oom	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
14	3	4	schaken	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
14	3	4	schaken	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
14	3	4	schaken	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
15	3	5	takel	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
15	3	5	takel	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
15	3	5	takel	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0001100000010100	0000000000000000	0	0	4	0
16	4	1	zee	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
16	4	1	zee	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
16	4	1	zee	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
17	4	2	jammer	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
17	4	2	jammer	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
17	4	2	jammer	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
18	4	3	serieus	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
18	4	3	serieus	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
18	4	3	serieus	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
19	4	4	vakantie	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
19	4	4	vakantie	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
19	4	4	vakantie	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
20	4	5	monding	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
20	4	5	monding	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
20	4	5	monding	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0100000100001010	0000000000000000	0	0	4	0
21	5	1	goed	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
21	5	1	goed	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
21	5	1	goed	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
22	5	2	donder	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
22	5	2	donder	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
22	5	2	donder	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010010	0000000000000000	0	0	4	0
