Set1	List		Set2	List
anti	1		tegen	1
slapen	1		bed	1
zenuwachtig	1		nerveus	1
kwaad	1		boos	1
ieder	1		elk	1
gek	1		zot	1
normaal	1		gewoon	1
boven	1		onder	1
lang	1		kort	1
huwelijk	1		trouw	1
toe	2		dicht	2
jammer	2		spijtig	2
non	2		zuster	2
wijze	2		manier	2
gezwel	2		tumor	2
dronken	2		zat	2
opinie	2		mening	2
antwoord	2		vraag	2
correct	2		juist	2
schaap	2		wol	2
nonkel	1		oom	1
trots	1		fier	1
lezen	1		boek	1
bliksem	1		donder	1
kapot	1		stuk	1
verstaan	1		begrijpen	1
krabben	1		jeuk	1
rustig	1		kalm	1
knippen	1		schaar	1
reeds	1		al	1
