Set1	List		Set2	List
anti	1		tegen	1
slapen	1		bed	1
zenuwachtig	1		nerveus	1
kwaad	1		boos	1
ieder	1		elk	1
gek	1		zot	1
normaal	1		gewoon	1
boven	1		onder	1
lang	1		kort	1
huwelijk	1		trouw	1
toe	2		dicht	2
jammer	2		spijtig	2
non	2		zuster	2
wijze	2		manier	2
gezwel	2		tumor	2
dronken	2		zat	2
opinie	2		mening	2
antwoord	2		vraag	2
correct	2		juist	2
schaap	2		wol	2
nonkel	1		oom	1
trots	1		fier	1
lezen	1		boek	1
bliksem	1		donder	1
kapot	1		stuk	1
verstaan	1		begrijpen	1
krabben	1		jeuk	1
rustig	1		kalm	1
knippen	1		schaar	1
reeds	1		al	1
drinken	2		water	2
pijl	2		boog	2
oerwoud	2		jungle	2
dikwijls	2		vaak	2
tolk	2		vertaler	2
magie	2		toveren	2
nevel	2		mist	2
enig	2		uniek	2
ernstig	2		serieus	2
wenen	2		verdriet	2
takel	1		wagen	1
lanceren	1		raket	1
tragedie	1		drama	1
prijzig	1		duur	1
keurig	1		netjes	1
pest	1		ziekte	1
pek	1		zwart	1
geeuw	1		moe	1
scheel	1		ogen	1
dok	1		haven	1
komedie	2		lachen	2
blanco	2		wit	2
lasso	2		cowboy	2
selectie	2		keuze	2
filter	2		koffie	2
droogte	2		woestijn	2
vlok	2		sneeuw	2
refrein	2		lied	2
kassei	2		steen	2
koprol	2		turnen	2
opstaan	1		wekken	1
voeten	1		pedicure	1
worst	1		salami	1
stem	1		vocaal	1
muziek	1		concert	1
drank	1		likeur	1
vies	1		goor	1
brood	1		kruimel	1
beer	1		panda	1
rivier	1		monding	1
toren	2		uitkijk	2
lawaai	2		rumoer	2
borstel	2		veger	2
hout	2		splinter	2
slang	2		ratel	2
herfst	2		oktober	2
suiker	2		klont	2
aarde	2		kluit	2
giftig	2		toxisch	2
begin	2		debuut	2
roddel	1		gerucht	1
geld	1		fortuin	1
man	1		vent	1
oorlog	1		slagveld	1
voet	1		stap	1
pijn	1		kwetsen	1
gevaarlijk	1		riskant	1
nat	1		vocht	1
veel	1		duizend	1
bier	1		café	1
warm	2		jas	2
lekker	2		koekjes	2
vakantie	2		hotel	2
bal	2		vangen	2
foto	2		portret	2
koud	2		winters	2
samen	2		elkaar	2
heel	2		intact	2
iedereen	2		alle	2
meisje	2		griet	2
best	1		goed	1
zet	1		schaken	1
vrezen	1		angst	1
menu	1		eten	1
gauw	1		snel	1
term	1		woord	1
rem	1		auto	1
klant	1		winkel	1
paleis	1		koning	1
wieg	1		baby	1
dek	2		boot	2
zichzelf	2		ik	2
ruim	2		groot	2
stralen	2		zon	2
zij	2		vrouw	2
bouwen	2		huis	2
kust	2		zee	2
afloop	2		einde	2
zes	2		getal	2
piloot	2		vliegtuig	2
